,inicio,varinicio,varfim,PT_V,id,int,real,lit,leia,escreva,literal,num,rcb,opm,se,AB_P,FC_P,entao,opr,fimse,fim,EOF,P',P,V,LV,D,TIPO,A,ES,ARG,CMD,LD,OPRD,COND,CABECALHO,EXP_R,CORPO
45,ERRO,ERRO7,ERRO,ERRO,R23,ERRO,ERRO,ERRO,R23,R23,ERRO,ERRO,ERRO,ERRO,R23,ERRO,ERRO6,ERRO,ERRO,R23,R23,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO
46,ERRO,ERRO7,ERRO,ERRO,S12,ERRO,ERRO,ERRO,S10,S11,ERRO,ERRO,ERRO,ERRO,S14,ERRO,ERRO6,ERRO,ERRO,S49,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,46,ERRO,47,ERRO,ERRO,48,13,ERRO,49
47,ERRO,ERRO7,ERRO,ERRO,S12,ERRO,ERRO,ERRO,S10,S11,ERRO,ERRO,ERRO,ERRO,S14,ERRO,ERRO6,ERRO,ERRO,S49,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,46,ERRO,47,ERRO,ERRO,48,13,ERRO,50
48,ERRO,ERRO7,ERRO,ERRO,S12,ERRO,ERRO,ERRO,S10,S11,ERRO,ERRO,ERRO,ERRO,S14,ERRO,ERRO6,ERRO,ERRO,S49,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,46,ERRO,47,ERRO,ERRO,48,13,ERRO,51
49,ERRO,ERRO7,ERRO,ERRO,R26,ERRO,ERRO,ERRO,R26,R26,ERRO,ERRO,ERRO,ERRO,R26,ERRO,ERRO6,ERRO,ERRO,R26,R26,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO
50,ERRO,ERRO7,ERRO,ERRO,R27,ERRO,ERRO,ERRO,R27,R27,ERRO,ERRO,ERRO,ERRO,R27,ERRO,ERRO6,ERRO,ERRO,R27,R27,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO
51,ERRO,ERRO7,ERRO,ERRO,R28,ERRO,ERRO,ERRO,R28,R28,ERRO,ERRO,ERRO,ERRO,R28,ERRO,ERRO6,ERRO,ERRO,R28,R28,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO
52,ERRO,ERRO7,ERRO,ERRO,S40,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,S41,ERRO,ERRO,ERRO,ERRO,ERRO6,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,54,ERRO,ERRO,53,ERRO
53,ERRO,ERRO7,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,S55,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO
54,ERRO,ERRO7,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO6,ERRO,S57,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO
55,ERRO,ERRO7,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO6,S56,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO
56,ERRO,ERRO7,ERRO,ERRO,R24,ERRO,ERRO,ERRO,ERRO,R24,R24,ERRO,ERRO,ERRO,R24,ERRO,ERRO6,ERRO,ERRO,R24,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO
57,ERRO,ERRO7,ERRO,ERRO,S40,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,S41,ERRO,ERRO,ERRO,ERRO,ERRO6,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,58,ERRO,ERRO,ERRO,ERRO
58,ERRO,ERRO7,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,R25,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO
